student_id,gender,race_ethnicity,parent_education,lunch,test_preparation,math,reading,writing,total,average,percentage,grade
Student-130,female,group A,bachelor's degree,standard,none,51,49,51,151,50.33,50.33,E
Student-131,male,group D,master's degree,standard,none,89,84,82,255,85.00,85.00,B
Student-132,male,group C,some high school,free/reduced,completed,53,37,40,130,43.33,43.33,F
Student-133,male,group E,some college,free/reduced,completed,87,74,70,231,77.00,77.00,C
Student-134,female,group C,some college,standard,completed,75,81,84,240,80.00,80.00,B
Student-135,male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,76.00,76.00,C
Student-136,male,group C,bachelor's degree,standard,none,58,55,48,161,53.67,53.67,E
Student-137,male,group B,some high school,standard,completed,51,54,41,146,48.67,48.67,F
Student-138,male,group E,high school,standard,none,70,55,56,181,60.33,60.33,D
Student-139,female,group C,associate's degree,standard,none,59,66,67,192,64.00,64.00,D
Student-140,male,group D,some college,standard,completed,71,61,69,201,67.00,67.00,D
Student-141,female,group D,some high school,standard,none,76,72,71,219,73.00,73.00,C
Student-142,female,group C,some college,free/reduced,none,59,62,64,185,61.67,61.67,D
Student-143,female,group E,some college,free/reduced,completed,42,55,54,151,50.33,50.33,E
Student-144,male,group A,high school,standard,none,57,43,47,147,49.00,49.00,F
Student-145,male,group D,some college,standard,none,88,73,78,239,79.67,79.67,C
Student-146,female,group C,some college,free/reduced,none,22,39,33,94,31.33,31.33,F
Student-147,male,group B,some high school,standard,none,88,84,75,247,82.33,82.33,B
Student-148,male,group C,associate's degree,free/reduced,none,73,68,66,207,69.00,69.00,D
Student-149,female,group D,bachelor's degree,standard,completed,68,75,81,224,74.67,74.67,C
Student-150,male,group E,associate's degree,free/reduced,completed,100,100,93,293,97.67,97.67,A
Student-151,male,group A,some high school,standard,completed,62,67,69,198,66.00,66.00,D
Student-152,male,group A,bachelor's degree,standard,none,77,67,68,212,70.67,70.67,C
Student-153,female,group B,associate's degree,standard,completed,59,70,66,195,65.00,65.00,D
Student-154,male,group D,bachelor's degree,standard,none,54,49,47,150,50.00,50.00,E
Student-155,male,group D,some high school,standard,none,62,67,61,190,63.33,63.33,D
Student-156,female,group C,some college,standard,completed,70,89,88,247,82.33,82.33,B
Student-157,female,group E,high school,free/reduced,completed,66,74,78,218,72.67,72.67,C
Student-158,male,group B,some college,free/reduced,none,60,60,60,180,60.00,60.00,D
Student-159,female,group B,associate's degree,standard,completed,61,86,87,234,78.00,78.00,C
Student-160,male,group D,associate's degree,free/reduced,none,66,62,64,192,64.00,64.00,D
Student-161,male,group B,associate's degree,free/reduced,completed,82,78,74,234,78.00,78.00,C
Student-162,female,group E,some college,free/reduced,completed,75,88,85,248,82.67,82.67,B
Student-163,male,group B,master's degree,free/reduced,none,49,53,52,154,51.33,51.33,E
Student-164,male,group C,high school,standard,none,52,53,49,154,51.33,51.33,E
Student-165,female,group E,master's degree,standard,none,81,92,91,264,88.00,88.00,B
Student-166,female,group C,bachelor's degree,standard,completed,96,100,100,296,98.67,98.67,A
Student-167,male,group C,high school,free/reduced,completed,53,51,51,155,51.67,51.67,E
Student-168,female,group B,master's degree,free/reduced,completed,58,76,78,212,70.67,70.67,C
Student-169,female,group B,high school,standard,completed,68,83,78,229,76.33,76.33,C
Student-170,female,group C,some college,free/reduced,completed,67,75,70,212,70.67,70.67,C
Student-171,male,group A,high school,standard,completed,72,73,74,219,73.00,73.00,C
Student-172,male,group E,some high school,standard,none,94,88,78,260,86.67,86.67,B
Student-173,female,group D,some college,standard,none,79,86,81,246,82.00,82.00,B
Student-174,female,group C,associate's degree,standard,none,63,67,70,200,66.67,66.67,D
Student-175,female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,49.33,49.33,F
Student-176,female,group C,master's degree,standard,completed,81,91,87,259,86.33,86.33,B
Student-177,female,group B,high school,free/reduced,completed,46,54,58,158,52.67,52.67,E
Student-178,female,group C,associate's degree,standard,completed,71,77,77,225,75.00,75.00,C
Student-179,female,group B,master's degree,free/reduced,completed,52,70,62,184,61.33,61.33,D
Student-180,female,group D,some high school,standard,completed,97,100,100,297,99.00,99.00,A
Student-181,male,group C,master's degree,free/reduced,completed,62,68,75,205,68.33,68.33,D
Student-182,female,group C,some college,free/reduced,none,46,64,66,176,58.67,58.67,E
Student-183,female,group E,high school,standard,none,50,50,47,147,49.00,49.00,F
Student-184,female,group D,associate's degree,standard,none,65,69,70,204,68.00,68.00,D
Student-185,male,group C,some high school,free/reduced,completed,45,52,49,146,48.67,48.67,F
Student-186,male,group C,associate's degree,free/reduced,completed,65,67,65,197,65.67,65.67,D
Student-187,male,group E,high school,standard,none,80,76,65,221,73.67,73.67,C
Student-188,male,group D,some high school,standard,completed,62,66,68,196,65.33,65.33,D
Student-189,male,group B,some high school,free/reduced,none,48,52,45,145,48.33,48.33,F
Student-190,female,group C,bachelor's degree,standard,none,77,88,87,252,84.00,84.00,B
Student-191,female,group E,associate's degree,standard,none,66,65,69,200,66.67,66.67,D
Student-192,male,group D,some college,standard,completed,76,83,79,238,79.33,79.33,C
Student-193,female,group B,some high school,standard,none,62,64,66,192,64.00,64.00,D
Student-194,male,group D,some college,standard,completed,77,62,62,201,67.00,67.00,D
Student-195,female,group C,master's degree,standard,completed,69,84,85,238,79.33,79.33,C
Student-196,male,group D,associate's degree,standard,none,61,55,52,168,56.00,56.00,E
Student-197,male,group C,some high school,free/reduced,completed,59,69,65,193,64.33,64.33,D
Student-198,male,group E,high school,free/reduced,none,55,56,51,162,54.00,54.00,E
Student-199,female,group B,some college,free/reduced,none,45,53,55,153,51.00,51.00,E
Student-200,female,group B,bachelor's degree,free/reduced,none,78,79,76,233,77.67,77.67,C
Student-201,female,group C,associate's degree,standard,completed,67,84,86,237,79.00,79.00,C
Student-202,female,group D,some college,free/reduced,none,65,81,77,223,74.33,74.33,C
Student-203,male,group C,associate's degree,standard,none,69,77,69,215,71.67,71.67,C
Student-204,female,group B,associate's degree,standard,none,57,69,68,194,64.67,64.67,D
Student-205,male,group C,some college,standard,none,59,41,42,142,47.33,47.33,F
Student-206,male,group D,some high school,standard,completed,74,71,78,223,74.33,74.33,C
Student-207,male,group E,bachelor's degree,standard,none,82,62,62,206,68.67,68.67,D
Student-208,male,group E,high school,standard,completed,81,80,76,237,79.00,79.00,C
Student-209,female,group B,some college,free/reduced,none,74,81,76,231,77.00,77.00,C
Student-210,female,group B,some college,free/reduced,none,58,61,66,185,61.67,61.67,D
Student-211,male,group D,some high school,free/reduced,completed,80,79,79,238,79.33,79.33,C
Student-212,male,group C,some college,free/reduced,none,35,28,27,90,30.00,30.00,F
Student-213,female,group C,high school,free/reduced,none,42,62,60,164,54.67,54.67,E
Student-214,male,group C,associate's degree,free/reduced,completed,60,51,56,167,55.67,55.67,E
Student-215,male,group E,high school,standard,completed,87,91,81,259,86.33,86.33,B
Student-216,male,group B,some high school,standard,completed,84,83,75,242,80.67,80.67,B
Student-217,female,group E,associate's degree,free/reduced,completed,83,86,88,257,85.67,85.67,B
Student-218,female,group C,high school,free/reduced,none,34,42,39,115,38.33,38.33,F
Student-219,male,group B,high school,free/reduced,none,66,77,70,213,71.00,71.00,C
Student-220,male,group B,some high school,standard,completed,61,56,56,173,57.67,57.67,E
Student-221,female,group D,high school,standard,completed,56,68,74,198,66.00,66.00,D
Student-222,male,group B,associate's degree,standard,none,87,85,73,245,81.67,81.67,B
Student-223,female,group C,some high school,free/reduced,none,55,65,62,182,60.67,60.67,D
Student-224,male,group D,some high school,standard,none,86,80,75,241,80.33,80.33,B
Student-225,female,group B,associate's degree,standard,completed,52,66,73,191,63.67,63.67,D
Student-226,female,group E,master's degree,free/reduced,none,45,56,54,155,51.67,51.67,E
Student-227,female,group C,some college,standard,none,72,72,71,215,71.67,71.67,C
Student-228,male,group D,high school,standard,none,57,50,54,161,53.67,53.67,E
Student-229,male,group A,some high school,free/reduced,none,68,72,64,204,68.00,68.00,D
Student-230,female,group C,some college,standard,completed,88,95,94,277,92.33,92.33,A
Student-231,male,group D,some college,standard,none,76,64,66,206,68.67,68.67,D
Student-232,male,group C,associate's degree,standard,none,46,43,42,131,43.67,43.67,F
Student-233,female,group B,bachelor's degree,standard,none,67,86,83,236,78.67,78.67,C
Student-234,male,group E,some high school,standard,none,92,87,78,257,85.67,85.67,B
Student-235,male,group C,bachelor's degree,standard,completed,83,82,84,249,83.00,83.00,B
Student-236,male,group D,associate's degree,standard,none,80,75,77,232,77.33,77.33,C
Student-237,male,group D,bachelor's degree,free/reduced,none,63,66,67,196,65.33,65.33,D
Student-238,female,group D,some high school,standard,completed,64,60,74,198,66.00,66.00,D
Student-239,male,group B,some college,standard,none,54,52,51,157,52.33,52.33,E
Student-240,male,group C,associate's degree,standard,none,84,80,80,244,81.33,81.33,B
Student-241,male,group D,high school,free/reduced,completed,73,68,66,207,69.00,69.00,D
Student-242,female,group E,bachelor's degree,standard,none,80,83,83,246,82.00,82.00,B
Student-243,female,group D,high school,standard,none,56,52,55,163,54.33,54.33,E
Student-244,male,group E,some college,standard,none,59,51,43,153,51.00,51.00,E
Student-245,male,group D,some high school,standard,none,75,74,69,218,72.67,72.67,C
Student-246,male,group C,associate's degree,standard,none,85,76,71,232,77.33,77.33,C
Student-247,male,group E,associate's degree,standard,none,89,76,74,239,79.67,79.67,C
Student-248,female,group B,high school,standard,completed,58,70,68,196,65.33,65.33,D
Student-249,female,group B,high school,standard,none,65,64,62,191,63.67,63.67,D
Student-250,male,group C,high school,standard,none,68,60,53,181,60.33,60.33,D
Student-251,male,group A,some high school,standard,completed,47,49,49,145,48.33,48.33,F
Student-252,female,group D,some college,free/reduced,none,71,83,83,237,79.00,79.00,C
Student-253,female,group B,some high school,standard,completed,60,70,70,200,66.67,66.67,D
Student-254,male,group D,master's degree,standard,none,80,80,72,232,77.33,77.33,C
Student-255,male,group D,high school,standard,none,54,52,52,158,52.67,52.67,E
Student-256,female,group E,some college,standard,none,62,73,70,205,68.33,68.33,D
Student-257,female,group C,associate's degree,free/reduced,none,64,73,68,205,68.33,68.33,D
Student-258,male,group C,associate's degree,standard,completed,78,77,77,232,77.33,77.33,C
Student-259,female,group B,some college,standard,none,70,75,78,223,74.33,74.33,C
Student-260,female,group C,master's degree,free/reduced,completed,65,81,81,227,75.67,75.67,C
Student-261,female,group C,some high school,free/reduced,completed,64,79,77,220,73.33,73.33,C
Student-262,male,group C,some college,standard,completed,79,79,78,236,78.67,78.67,C
Student-263,female,group C,some high school,free/reduced,none,44,50,51,145,48.33,48.33,F
Student-264,female,group E,high school,standard,none,99,93,90,282,94.00,94.00,A
Student-265,male,group D,high school,standard,none,76,73,68,217,72.33,72.33,C
Student-266,male,group D,some high school,free/reduced,none,59,42,41,142,47.33,47.33,F
Student-267,female,group C,bachelor's degree,standard,none,63,75,81,219,73.00,73.00,C
Student-268,female,group D,high school,standard,none,69,72,77,218,72.67,72.67,C
Student-269,female,group D,associate's degree,standard,completed,88,92,95,275,91.67,91.67,A
Student-270,female,group E,some college,free/reduced,none,71,76,70,217,72.33,72.33,C
Student-271,male,group C,bachelor's degree,standard,none,69,63,61,193,64.33,64.33,D
Student-272,male,group C,some college,standard,none,58,49,42,149,49.67,49.67,F
Student-273,female,group D,associate's degree,free/reduced,none,47,53,58,158,52.67,52.67,E
Student-274,female,group D,some college,standard,none,65,70,71,206,68.67,68.67,D
Student-275,male,group B,some college,standard,completed,88,85,76,249,83.00,83.00,B
Student-276,male,group C,bachelor's degree,standard,none,83,78,73,234,78.00,78.00,C
Student-277,female,group C,some high school,standard,completed,85,92,93,270,90.00,90.00,A
Student-278,female,group E,high school,standard,completed,59,63,75,197,65.67,65.67,D
Student-279,female,group C,some high school,free/reduced,none,65,86,80,231,77.00,77.00,C
Student-280,male,group B,bachelor's degree,free/reduced,none,73,56,57,186,62.00,62.00,D
Student-281,male,group D,high school,standard,none,53,52,42,147,49.00,49.00,F
Student-282,male,group D,high school,standard,none,45,48,46,139,46.33,46.33,F
Student-283,female,group D,bachelor's degree,free/reduced,none,73,79,84,236,78.67,78.67,C
Student-284,female,group D,some college,free/reduced,completed,70,78,78,226,75.33,75.33,C
Student-285,female,group B,some high school,standard,none,37,46,46,129,43.00,43.00,F
Student-286,male,group B,associate's degree,standard,completed,81,82,82,245,81.67,81.67,B
Student-287,male,group E,associate's degree,standard,completed,97,82,88,267,89.00,89.00,B
Student-288,female,group B,some high school,standard,none,67,89,82,238,79.33,79.33,C
Student-289,male,group B,bachelor's degree,free/reduced,none,88,75,76,239,79.67,79.67,C
Student-290,male,group E,some high school,standard,completed,77,76,77,230,76.67,76.67,C
Student-291,male,group C,associate's degree,standard,none,76,70,68,214,71.33,71.33,C
Student-292,male,group D,some high school,standard,none,86,73,70,229,76.33,76.33,C
Student-293,male,group C,some high school,standard,completed,63,60,57,180,60.00,60.00,D
Student-294,female,group E,bachelor's degree,standard,none,65,73,75,213,71.00,71.00,C
Student-295,male,group D,high school,free/reduced,completed,78,77,80,235,78.33,78.33,C
Student-296,male,group B,associate's degree,free/reduced,none,67,62,60,189,63.00,63.00,D
Student-297,male,group A,some high school,standard,completed,46,41,43,130,43.33,43.33,F
Student-298,male,group E,associate's degree,standard,completed,71,74,68,213,71.00,71.00,C
Student-299,male,group C,high school,free/reduced,completed,40,46,50,136,45.33,45.33,F
Student-300,male,group D,associate's degree,free/reduced,none,90,87,75,252,84.00,84.00,B
Student-301,male,group A,some college,free/reduced,completed,81,78,81,240,80.00,80.00,B
Student-302,male,group D,some high school,free/reduced,none,56,54,52,162,54.00,54.00,E
Student-303,female,group C,associate's degree,standard,completed,67,84,81,232,77.33,77.33,C
Student-304,male,group B,associate's degree,standard,none,80,76,64,220,73.33,73.33,C
Student-305,female,group C,associate's degree,standard,completed,74,75,83,232,77.33,77.33,C
Student-306,male,group A,some college,standard,none,69,67,69,205,68.33,68.33,D
Student-307,male,group E,some college,standard,completed,99,87,81,267,89.00,89.00,B
Student-308,male,group C,some high school,standard,none,51,52,44,147,49.00,49.00,F
Student-309,female,group B,associate's degree,free/reduced,none,53,71,67,191,63.67,63.67,D
Student-310,female,group D,high school,free/reduced,none,49,57,52,158,52.67,52.67,E
Student-311,female,group B,associate's degree,standard,none,73,76,80,229,76.33,76.33,C
Student-312,male,group B,bachelor's degree,standard,none,66,60,57,183,61.00,61.00,D
Student-313,male,group D,bachelor's degree,standard,completed,67,61,68,196,65.33,65.33,D
Student-314,female,group C,associate's degree,free/reduced,completed,68,67,69,204,68.00,68.00,D
Student-315,female,group C,bachelor's degree,standard,completed,59,64,75,198,66.00,66.00,D
Student-316,male,group C,high school,standard,none,71,66,65,202,67.33,67.33,D
Student-317,female,group D,master's degree,standard,completed,77,82,91,250,83.33,83.33,B
Student-318,male,group C,associate's degree,standard,none,83,72,78,233,77.67,77.67,C
Student-319,male,group B,bachelor's degree,standard,none,63,71,69,203,67.67,67.67,D
Student-320,female,group D,associate's degree,free/reduced,none,56,65,63,184,61.33,61.33,D
Student-321,female,group C,high school,free/reduced,completed,67,79,84,230,76.67,76.67,C
Student-322,female,group E,high school,standard,none,75,86,79,240,80.00,80.00,B
Student-323,female,group C,some college,standard,none,71,81,80,232,77.33,77.33,C
Student-324,female,group C,some high school,free/reduced,none,43,53,53,149,49.67,49.67,F
Student-325,female,group C,high school,free/reduced,none,41,46,43,130,43.33,43.33,F
Student-326,female,group C,some college,standard,none,82,90,94,266,88.67,88.67,B
Student-327,male,group C,some college,standard,none,61,61,62,184,61.33,61.33,D
Student-328,male,group A,some college,free/reduced,none,28,23,19,70,23.33,23.33,F
Student-329,male,group C,associate's degree,standard,completed,82,75,77,234,78.00,78.00,C
Student-330,female,group B,some high school,standard,none,41,55,51,147,49.00,49.00,F
Student-331,male,group C,high school,standard,none,71,60,61,192,64.00,64.00,D
Student-332,male,group C,associate's degree,standard,none,47,37,35,119,39.67,39.67,F
Student-333,male,group E,associate's degree,standard,completed,62,56,53,171,57.00,57.00,E
Student-334,male,group B,associate's degree,standard,none,90,78,81,249,83.00,83.00,B
Student-335,female,group C,bachelor's degree,standard,none,83,93,95,271,90.33,90.33,A
Student-336,female,group B,some college,free/reduced,none,61,68,66,195,65.00,65.00,D
Student-337,male,group D,some high school,standard,completed,76,70,69,215,71.67,71.67,C
Student-338,male,group C,associate's degree,standard,none,49,51,43,143,47.67,47.67,F
Student-339,female,group B,some high school,free/reduced,none,24,38,27,89,29.67,29.67,F
Student-340,female,group D,some high school,free/reduced,completed,35,55,60,150,50.00,50.00,E
Student-341,male,group C,high school,free/reduced,none,58,61,52,171,57.00,57.00,E
Student-342,female,group C,high school,standard,none,61,73,63,197,65.67,65.67,D
Student-343,female,group B,high school,standard,completed,69,76,74,219,73.00,73.00,C
Student-344,male,group D,associate's degree,standard,completed,67,72,67,206,68.67,68.67,D
Student-345,male,group D,some college,standard,none,79,73,67,219,73.00,73.00,C
Student-346,female,group C,high school,standard,none,72,80,75,227,75.67,75.67,C
Student-347,male,group B,some college,standard,none,62,61,57,180,60.00,60.00,D
Student-348,female,group C,bachelor's degree,standard,completed,77,94,95,266,88.67,88.67,B
Student-349,male,group D,high school,free/reduced,none,75,74,66,215,71.67,71.67,C
Student-350,male,group E,associate's degree,standard,none,87,74,76,237,79.00,79.00,C
Student-351,female,group B,bachelor's degree,standard,none,52,65,69,186,62.00,62.00,D
Student-352,male,group E,some college,standard,none,66,57,52,175,58.33,58.33,E
Student-353,female,group C,some college,standard,completed,63,78,80,221,73.67,73.67,C
Student-354,female,group C,associate's degree,standard,none,46,58,57,161,53.67,53.67,E
Student-355,female,group C,some college,standard,none,59,71,70,200,66.67,66.67,D
Student-356,female,group B,bachelor's degree,standard,none,61,72,70,203,67.67,67.67,D
